Regulator,Target,divergence_score
CTSD,LRP1,0.3826532473088883
CTSD,CIRBP,0.48954087660723355
CTSD,NUFIP2,0.6762573345701948
XRCC6,RPS26,0.6434618991525443
XRCC6,NONO,0.28454561941526435
XRCC6,AP2M1,0.49147610415261034
XRCC5,AK1,0.6455609292685491
XRCC5,SOD2,0.5947303953034029
XRCC5,CKAP4,0.6450696908796811
XRCC5,NUFIP2,0.6409000615597387
XRCC5,AP2M1,0.6197624602720452
UCHL3,CTSD,0.6612003013800263
UCHL3,S100A4,0.6952546351811144
UCHL3,MAP4,0.504793706988399
UCHL3,TALDO1,0.5180295586995329
UCHL3,TMSB4X,0.5567430240915178
UCHL3,TAGLN,0.6043801797856282
ATP5PF,ATP6V1B2,0.6426708442714248
ATP5PF,DLST,0.4650616714110283
ATP5PF,PXN,0.6085310317132095
ATP5PF,LRP1,0.5520841985188082
ATP5PF,NEDD8,0.5812677381886067
ATP6V1B2,ATP5PF,0.6309744246200784
ATP6V1B2,MDH2,0.6511133229513206
ATP6V1B2,RPS26,0.6963671196217163
SFPQ,SOD2,0.6077966426507762
S100A4,CTSD,0.6684005100578256
S100A4,UCHL3,0.6875047902794948
S100A4,DLST,0.5953069562004111
S100A4,MDH2,0.6407942860057656
S100A4,OGDH,0.5813800256377828
MAP4,UCHL3,0.5024684881196682
MAP4,TMSB4X,0.47878293778192904
MAP4,SKP1,0.4848458312080858
MAP4,LRP1,0.5094611174665904
MAP4,CAPRIN1,0.4210989526107446
DLST,APOA2,0.588708693305027
DLST,ATP5PF,0.45959873793883943
DLST,TMSB4X,0.6504598665767145
DLST,TAGLN,0.5773837516145031
DLST,LRP1,0.4838110347129437
DLST,NEDD8,0.4917252191178728
TALDO1,CTSD,0.6655887151571347
MDH2,MYL1,0.7166186100612842
MDH2,ATP6V1B2,0.6479697224066306
MDH2,S100A4,0.6354435923678736
MDH2,COPA,0.6988812228167148
MDH2,YWHAG,0.6774314979747195
MDH2,RPS26,0.7468653156775723
MDH2,NONO,0.6084088683779806
MDH2,NUFIP2,0.6961894421106378
ACAA2,MYL1,0.6899041850996751
ACAA2,TPM3,0.6768834402987143
ACAA2,CTSD,0.6433514683983068
ACAA2,UCHL3,0.5403688528119902
ACAA2,S100A4,0.6751998096919578
ACAA2,COPA,0.60072975461036
ACAA2,RAB1B,0.6844229954216827
PXN,ACAA2,0.6712144419180857
PXN,YWHAG,0.5178415743220123
PXN,NUFIP2,0.6335341327706074
COPA,CMPK1,0.605206998211937
COPA,MDH2,0.6947169261864095
COPA,ACAA2,0.5940096231458446
COPA,TRIM28,0.2591212843843866
COPA,LTBP2,0.6496463686512348
COPA,AP2M1,0.6495653484421388
MARS1,APOA2,0.6634177789167934
YWHAG,COL3A1,0.551983046331723
YWHAG,MDH2,0.6874330579280243
YWHAG,PXN,0.528359746737223
YWHAG,RPL8,0.5338155850359037
YWHAG,TMSB10,0.5979295617859646
YWHAG,OGDH,0.6741774406557988
YWHAG,NUCB1,0.6208885026704174
TMSB4X,NUCB1,0.6298406121609217
TMSB4X,CIRBP,0.48514731876440953
TMSB4X,LTBP2,0.5800933400369068
RPS26,AK1,0.5713760610758998
RPS26,NEDD8,0.5617964498827402
RPL8,YWHAG,0.5154268846317674
RPL8,CIRBP,0.5905230712001424
SKP1,MAP4,0.49628736285209085
SKP1,DLST,0.616965841898617
SKP1,ACAA2,0.6267862052450829
SKP1,OGDH,0.6634440668907329
TMSB10,APOA2,0.5497586277657169
TMSB10,SOD2,0.631529077144289
TMSB10,CTSD,0.6107770206464693
TMSB10,YWHAG,0.5907162293597172
TMSB10,TMSB4X,0.38468609711152096
TAGLN,COL3A1,0.4363375565656475
TAGLN,OGDH,0.5519207157874444
TAGLN,SYNPO2,0.5814407712381049
OGDH,ARPC1B,0.6558835312606057
OGDH,S100A4,0.5732192792095687
OGDH,YWHAG,0.6633560195448218
OGDH,SKP1,0.6670882536527243
OGDH,TAGLN,0.5559391300869737
OGDH,SYNPO2,0.5771857517192368
NUCB1,SOD2,0.43283653558791074
NUCB1,CTSD,0.5870104146761597
NUCB1,TMSB4X,0.6299319502349432
NUCB1,OGDH,0.39572964415907974
CKAP4,MYL1,0.5770480168359812
CKAP4,CTSD,0.5505368999818399
CKAP4,XRCC5,0.6512723720040638
CKAP4,RPS26,0.6728880578311298
CKAP4,LRP1,0.6095369240369424
LRP1,AK1,0.5021424441896699
LRP1,CTSD,0.390514280581713
LRP1,ATP5PF,0.5416665783348109
LRP1,CMPK1,0.6700031141328566
LRP1,DLST,0.48736450799128506
LRP1,RPL8,0.57233484599391
LRP1,OGDH,0.48513022854855015
LRP1,NUCB1,0.4706785030343989
LRP1,CKAP4,0.6020402486276732
LRP1,AP2M1,0.5525117397618877
TRIM28,GLS,0.2877261945342861
TRIM28,AK1,0.5990372503804531
TRIM28,SOD2,0.614925865382736
TRIM28,XRCC6,0.22914173161001503
TRIM28,XRCC5,0.2702202839331862
TRIM28,SFPQ,0.2562233499720973
TRIM28,CMPK1,0.41659909062488854
TRIM28,COPA,0.26313706780238477
TRIM28,RPS26,0.43482030848164377
TRIM28,CIRBP,0.569220436296464
TRIM28,NONO,0.26914226381034584
TRIM28,AP2M1,0.41056758134422344
TRIM28,RAB1B,0.4267933813828685
CIRBP,APOA2,0.6439725896098243
CIRBP,TPM3,0.6745029403492349
CIRBP,CTSD,0.4861256809039394
CIRBP,TMSB4X,0.4951174032969756
CIRBP,NEDD8,0.4921578145344899
CIRBP,AP2M1,0.6732382041591412
CAPRIN1,MAP4,0.41109765573553697
CAPRIN1,SKP1,0.42227452694914286
LTBP2,ARPC1B,0.6136976021813298
LTBP2,APOA2,0.3534104873512854
LTBP2,COPA,0.6583303544573457
LTBP2,TMSB4X,0.5810652468679854
LTBP2,NUFIP2,0.45579762385726497
NONO,AK1,0.5605590939567716
NONO,XRCC6,0.2949066499123996
NONO,UCHL3,0.5957740579298325
NONO,MDH2,0.6061976822122213
NONO,NUFIP2,0.64801945992972
NONO,LMO7,0.4492897055078886
NONO,AP2M1,0.5752188439276469
NONO,SEPTIN9,0.4857116107782744
NEDD8,APOA2,0.6518260461850152
NEDD8,ATP5PF,0.5764696925577422
NEDD8,DLST,0.4902610007503376
NEDD8,RPS26,0.5574557560142852
NEDD8,TMSB10,0.6586988700784105
NEDD8,LRP1,0.41623925374746984
NEDD8,PDLIM5,0.5994478291819662
NUFIP2,APOA2,0.5695851074048481
NUFIP2,CTSD,0.6772262571954578
NUFIP2,XRCC5,0.6455118144932692
NUFIP2,MDH2,0.6938797529576038
NUFIP2,COPA,0.5575044314638945
NUFIP2,TMSB10,0.46344729054703615
NUFIP2,CIRBP,0.6233545652508827
NUFIP2,LTBP2,0.46068608533470523
NUFIP2,NONO,0.6492956372733949
AP2M1,XRCC6,0.4981139994668736
AP2M1,XRCC5,0.6261915886400975
AP2M1,SFPQ,0.6298662577423084
AP2M1,S100A4,0.6010618867145212
AP2M1,COPA,0.6551018599148974
AP2M1,TRIM28,0.4206331649886951
AP2M1,CIRBP,0.6610254379536524
AP2M1,NONO,0.5839428867013841
AP2M1,NEDD8,0.6657327154400074
AP2M1,RAB1B,0.6405447498132648
AP2M1,SEPTIN9,0.6218704498425942
PDLIM5,SKP1,0.6161028933216155
PDLIM5,TMSB10,0.5052622908672333
PDLIM5,NUFIP2,0.624655070790805
PDLIM5,SYNPO2,0.605769348925874
RAB1B,APOA2,0.48571811706648094
RAB1B,MYL1,0.5832849141466723
RAB1B,ACAA2,0.6761350347620328
SEPTIN9,AP2M1,0.620366695546323
SYNPO2,AK1,0.5394487547208168
SYNPO2,SOD2,0.6086443910671768
SYNPO2,RPS26,0.42681534970866863
SYNPO2,NUFIP2,0.5994785632596249
SYNPO2,PDLIM5,0.6008386446441518
