#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0032991	Protein-containing complex	27	5073	0.35	0.00059	9606.ENSP00000215793,9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000243077,9606.ENSP00000253024,9606.ENSP00000273398,9606.ENSP00000276079,9606.ENSP00000276390,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000375978,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000466897,9606.ENSP00000480359	SF3A1,OGDH,NUFIP2,LRP1,TRIM28,ATP6V1A,NONO,ATP6V1B2,PRDX3,SYNPO2,CTNNB1,RPS26,SFPQ,XRCC6,MAP4,SNX6,COPA,TPM3,RPL10A,RPL11,BAG6,XRCC5,ATP5J,SEPT9,KLC1,CIRBP,PDLIM5
GO:0005576	Extracellular region	24	4166	0.38	0.00071	9606.ENSP00000236671,9606.ENSP00000250495,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000446252	CTSD,NEDD8,ATP6V1A,ATP6V1B2,PTX3,YWHAG,SRSF7,CTNNB1,RPS26,XRCC6,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,ATP5J,SOD2
GO:0001725	Stress fiber	4	65	1.41	0.0022	9606.ENSP00000306015,9606.ENSP00000357516,9606.ENSP00000391249,9606.ENSP00000480359	SYNPO2,TPM3,SEPT9,PDLIM5
GO:0043564	Ku70:Ku80 complex	2	2	2.62	0.0029	9606.ENSP00000352257,9606.ENSP00000375978	XRCC6,XRCC5
GO:0043227	Membrane-bounded organelle	42	12427	0.15	0.0048	9606.ENSP00000215793,9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261973,9606.ENSP00000265069,9606.ENSP00000273398,9606.ENSP00000276079,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,OGDH,NUFIP2,CTSD,LRP1,NEDD8,TRIM28,RBM25,ZFR,ATP6V1A,NONO,ATP6V1B2,ACAA2,PTX3,PRDX3,SYNPO2,YWHAG,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,SNX6,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,ATP5J,KLC1,SOD2,CIRBP
GO:0043232	Intracellular non-membrane-bounded organelle	24	4880	0.31	0.0076	9606.ENSP00000225388,9606.ENSP00000243077,9606.ENSP00000253024,9606.ENSP00000265069,9606.ENSP00000276079,9606.ENSP00000306015,9606.ENSP00000340329,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000466897,9606.ENSP00000480359	NUFIP2,LRP1,TRIM28,ZFR,NONO,SYNPO2,CAPRIN1,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,TPM3,CMPK1,RPL10A,RPL11,CKAP4,TMSB4X,XRCC5,SEPT9,KLC1,CIRBP,PDLIM5
GO:0034774	Secretory granule lumen	6	324	0.89	0.0085	9606.ENSP00000236671,9606.ENSP00000295927,9606.ENSP00000352257,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978	CTSD,PTX3,XRCC6,PRDX4,TMSB4X,XRCC5
GO:0042382	Paraspeckles	2	6	2.14	0.0091	9606.ENSP00000276079,9606.ENSP00000349748	NONO,SFPQ
GO:0099080	Supramolecular complex	11	1261	0.56	0.0092	9606.ENSP00000225388,9606.ENSP00000306015,9606.ENSP00000340329,9606.ENSP00000344456,9606.ENSP00000353375,9606.ENSP00000357516,9606.ENSP00000367265,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000466897,9606.ENSP00000480359	NUFIP2,SYNPO2,CAPRIN1,CTNNB1,MAP4,TPM3,CKAP4,SEPT9,KLC1,CIRBP,PDLIM5
GO:0043231	Intracellular membrane-bounded organelle	38	10761	0.17	0.0107	9606.ENSP00000215793,9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261973,9606.ENSP00000265069,9606.ENSP00000273398,9606.ENSP00000276079,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,OGDH,NUFIP2,CTSD,LRP1,NEDD8,TRIM28,RBM25,ZFR,ATP6V1A,NONO,ATP6V1B2,ACAA2,PRDX3,SYNPO2,YWHAG,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,SNX6,COPA,CMPK1,RPL10A,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,ATP5J,SOD2,CIRBP
GO:0016469	Proton-transporting two-sector atpase complex	3	50	1.4	0.0147	9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000389649	ATP6V1A,ATP6V1B2,ATP5J
GO:0033180	Proton-transporting v-type atpase, v1 domain	2	9	1.97	0.0157	9606.ENSP00000273398,9606.ENSP00000276390	ATP6V1A,ATP6V1B2
GO:0070419	Nonhomologous end joining complex	2	9	1.97	0.0157	9606.ENSP00000352257,9606.ENSP00000375978	XRCC6,XRCC5
GO:0016607	Nuclear speck	6	399	0.8	0.0190	9606.ENSP00000215793,9606.ENSP00000261973,9606.ENSP00000276079,9606.ENSP00000325905,9606.ENSP00000349748,9606.ENSP00000367265	SF3A1,RBM25,NONO,SRSF7,SFPQ,CKAP4
GO:0000783	Nuclear telomere cap complex	2	13	1.81	0.0273	9606.ENSP00000352257,9606.ENSP00000375978	XRCC6,XRCC5
GO:0090575	RNA polymerase II transcription regulator complex	4	163	1.01	0.0296	9606.ENSP00000253024,9606.ENSP00000276079,9606.ENSP00000344456,9606.ENSP00000349748	TRIM28,NONO,CTNNB1,SFPQ
GO:0010494	Cytoplasmic stress granule	3	73	1.23	0.0341	9606.ENSP00000225388,9606.ENSP00000340329,9606.ENSP00000466897	NUFIP2,CAPRIN1,CIRBP
GO:0030141	Secretory granule	8	845	0.6	0.0357	9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000295927,9606.ENSP00000352257,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978	CTSD,LRP1,PTX3,XRCC6,CKAP4,PRDX4,TMSB4X,XRCC5
GO:0005791	Rough endoplasmic reticulum	3	82	1.18	0.0429	9606.ENSP00000348849,9606.ENSP00000367265,9606.ENSP00000385923	RPS26,CKAP4,NUCB1
GO:0031410	Cytoplasmic vesicle	14	2386	0.39	0.0429	9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000414982	CTSD,LRP1,ATP6V1B2,PTX3,PRDX3,XRCC6,SNX6,COPA,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,KLC1
GO:1990904	Ribonucleoprotein complex	7	677	0.63	0.0429	9606.ENSP00000215793,9606.ENSP00000225388,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000375978,9606.ENSP00000466897	SF3A1,NUFIP2,RPS26,RPL10A,RPL11,XRCC5,CIRBP
GO:0005902	Microvillus	3	86	1.16	0.0458	9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000344456	ATP6V1A,ATP6V1B2,CTNNB1
GO:0005654	Nucleoplasm	19	3973	0.3	0.0464	9606.ENSP00000215793,9606.ENSP00000225388,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261973,9606.ENSP00000276079,9606.ENSP00000306015,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000360939,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000375978,9606.ENSP00000466897	SF3A1,NUFIP2,NEDD8,TRIM28,RBM25,NONO,SYNPO2,SRSF7,CTNNB1,RPS26,SFPQ,XRCC6,CMPK1,RPL11,BAG6,UCHL3,CKAP4,XRCC5,CIRBP
