#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0032991	Protein-containing complex	26	5073	0.37	0.00033	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000243077,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000307280,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000466134,9606.ENSP00000466897,9606.ENSP00000480359	OGDH,NUFIP2,LRP1,TRIM28,RPL8,NONO,AP2M1,COL3A1,SYNPO2,MYL1,RPS26,SFPQ,XRCC6,MAP4,APOA2,COPA,TPM3,RPL10A,RPL11,XRCC5,ARPC1B,ATP5J,SEPT9,PRKCSH,CIRBP,PDLIM5
GO Component	GO:0043226	Organelle	42	13515	0.15	0.00039	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261978,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000307280,9606.ENSP00000317379,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000446252,9606.ENSP00000466134,9606.ENSP00000466897,9606.ENSP00000480359	OGDH,NUFIP2,CTSD,LRP1,PHPT1,NEDD8,TRIM28,LTBP2,RPL8,NONO,ACAA2,AP2M1,COL3A1,SYNPO2,YWHAG,MYL1,GLS,TALDO1,MDH2,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,UCHL3,CKAP4,TMSB4X,XRCC5,NUCB1,ARPC1B,ATP5J,SEPT9,SOD2,PRKCSH,CIRBP,PDLIM5
GO Component	GO:0005829	Cytosol	26	5193	0.36	0.00044	9606.ENSP00000225388,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000262584,9606.ENSP00000292807,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000307280,9606.ENSP00000317379,9606.ENSP00000321259,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000480359	NUFIP2,PHPT1,NEDD8,RPL8,AP2M1,SYNPO2,YWHAG,MYL1,GLS,TALDO1,CAPRIN1,RPS26,XRCC6,MAP4,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,UCHL3,CKAP4,TMSB4X,XRCC5,ARPC1B,PDLIM5
GO Component	GO:0043229	Intracellular organelle	40	12528	0.16	0.0016	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000307280,9606.ENSP00000317379,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000446252,9606.ENSP00000466134,9606.ENSP00000466897,9606.ENSP00000480359	OGDH,NUFIP2,CTSD,LRP1,NEDD8,TRIM28,RPL8,NONO,ACAA2,AP2M1,COL3A1,SYNPO2,YWHAG,MYL1,GLS,TALDO1,MDH2,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,UCHL3,CKAP4,TMSB4X,XRCC5,NUCB1,ARPC1B,ATP5J,SEPT9,SOD2,PRKCSH,CIRBP,PDLIM5
GO Component	GO:0001725	Stress fiber	4	65	1.45	0.0019	9606.ENSP00000306015,9606.ENSP00000357516,9606.ENSP00000391249,9606.ENSP00000480359	SYNPO2,TPM3,SEPT9,PDLIM5
GO Component	GO:0005622	Intracellular	42	14276	0.13	0.0024	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000307280,9606.ENSP00000317379,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000432282,9606.ENSP00000446252,9606.ENSP00000466134,9606.ENSP00000466897,9606.ENSP00000480359	OGDH,NUFIP2,CTSD,LRP1,PHPT1,NEDD8,TRIM28,RPL8,NONO,ACAA2,AP2M1,COL3A1,SYNPO2,YWHAG,MYL1,GLS,TALDO1,MDH2,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,UCHL3,CKAP4,TMSB4X,XRCC5,NUCB1,ARPC1B,ATP5J,SEPT9,TAGLN,SOD2,PRKCSH,CIRBP,PDLIM5
GO Component	GO:0043564	Ku70:Ku80 complex	2	2	2.66	0.0025	9606.ENSP00000352257,9606.ENSP00000375978	XRCC6,XRCC5
GO Component	GO:0043232	Intracellular non-membrane-bounded organelle	23	4880	0.33	0.0049	9606.ENSP00000225388,9606.ENSP00000243077,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000306015,9606.ENSP00000307280,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000391249,9606.ENSP00000466897,9606.ENSP00000480359	NUFIP2,LRP1,TRIM28,RPL8,NONO,SYNPO2,MYL1,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,TPM3,CMPK1,RPL10A,RPL11,CKAP4,TMSB4X,XRCC5,ARPC1B,SEPT9,CIRBP,PDLIM5
GO Component	GO:0022626	Cytosolic ribosome	4	97	1.27	0.0053	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
GO Component	GO:0099080	Supramolecular complex	11	1261	0.6	0.0053	9606.ENSP00000225388,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000307280,9606.ENSP00000340329,9606.ENSP00000353375,9606.ENSP00000357516,9606.ENSP00000367265,9606.ENSP00000391249,9606.ENSP00000466897,9606.ENSP00000480359	NUFIP2,COL3A1,SYNPO2,MYL1,CAPRIN1,MAP4,TPM3,CKAP4,SEPT9,CIRBP,PDLIM5
GO Component	GO:0070013	Intracellular organelle lumen	25	5857	0.29	0.0078	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000360939,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000446252,9606.ENSP00000466134,9606.ENSP00000466897	OGDH,NUFIP2,CTSD,NEDD8,TRIM28,NONO,ACAA2,COL3A1,SYNPO2,GLS,MDH2,RPS26,SFPQ,XRCC6,APOA2,CMPK1,RPL11,UCHL3,CKAP4,TMSB4X,XRCC5,NUCB1,SOD2,PRKCSH,CIRBP
GO Component	GO:0042382	Paraspeckles	2	6	2.18	0.0079	9606.ENSP00000276079,9606.ENSP00000349748	NONO,SFPQ
GO Component	GO:0005925	Focal adhesion	6	405	0.83	0.0149	9606.ENSP00000243077,9606.ENSP00000262584,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000363018,9606.ENSP00000389631	LRP1,RPL8,SYNPO2,YWHAG,RPL10A,ARPC1B
GO Component	GO:0070419	Nonhomologous end joining complex	2	9	2.0	0.0149	9606.ENSP00000352257,9606.ENSP00000375978	XRCC6,XRCC5
GO Component	GO:0022625	Cytosolic large ribosomal subunit	3	56	1.39	0.0157	9606.ENSP00000262584,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPL10A,RPL11
GO Component	GO:0000783	Nuclear telomere cap complex	2	13	1.85	0.0249	9606.ENSP00000352257,9606.ENSP00000375978	XRCC6,XRCC5
GO Component	GO:0005788	Endoplasmic reticulum lumen	5	308	0.87	0.0277	9606.ENSP00000304408,9606.ENSP00000356969,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000466134	COL3A1,APOA2,CKAP4,NUCB1,PRKCSH
GO Component	GO:0010494	Cytoplasmic stress granule	3	73	1.27	0.0280	9606.ENSP00000225388,9606.ENSP00000340329,9606.ENSP00000466897	NUFIP2,CAPRIN1,CIRBP
GO Component	GO:0015629	Actin cytoskeleton	6	477	0.76	0.0280	9606.ENSP00000306015,9606.ENSP00000307280,9606.ENSP00000357516,9606.ENSP00000389631,9606.ENSP00000391249,9606.ENSP00000480359	SYNPO2,MYL1,TPM3,ARPC1B,SEPT9,PDLIM5
GO Component	GO:0044391	Ribosomal subunit	4	178	1.01	0.0286	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
GO Component	GO:1990904	Ribonucleoprotein complex	7	677	0.67	0.0286	9606.ENSP00000225388,9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000375978,9606.ENSP00000466897	NUFIP2,RPL8,RPS26,RPL10A,RPL11,XRCC5,CIRBP
GO Component	GO:0005791	Rough endoplasmic reticulum	3	82	1.22	0.0355	9606.ENSP00000348849,9606.ENSP00000367265,9606.ENSP00000385923	RPS26,CKAP4,NUCB1
GO Component	GO:0030017	Sarcomere	4	207	0.94	0.0468	9606.ENSP00000306015,9606.ENSP00000307280,9606.ENSP00000357516,9606.ENSP00000480359	SYNPO2,MYL1,TPM3,PDLIM5
STRING clusters	CL:171	Cytoplasmic ribosomal proteins	4	57	1.5	0.0434	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-5663205	Infectious disease	11	826	0.78	0.0029	9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000292807,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000466134	TRIM28,RPL8,AP2M1,RPS26,SFPQ,XRCC6,RPL10A,RPL11,XRCC5,ARPC1B,PRKCSH
Reactome	HSA-1643685	Disease	13	1548	0.58	0.0202	9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000292807,9606.ENSP00000321259,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000446252,9606.ENSP00000466134	TRIM28,RPL8,AP2M1,TALDO1,RPS26,SFPQ,XRCC6,RPL10A,RPL11,XRCC5,ARPC1B,SOD2,PRKCSH
Reactome	HSA-1430728	Metabolism	13	2089	0.45	0.0338	9606.ENSP00000222673,9606.ENSP00000243077,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000317379,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000389649	OGDH,LRP1,RPL8,ACAA2,GLS,TALDO1,MDH2,RPS26,APOA2,CMPK1,RPL10A,RPL11,ATP5J
Reactome	HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	4	108	1.23	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-156902	Peptide chain elongation	4	87	1.32	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-164843	2-LTR circle formation	2	7	2.11	0.0338	9606.ENSP00000352257,9606.ENSP00000375978	XRCC6,XRCC5
Reactome	HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	4	110	1.22	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-192823	Viral mRNA Translation	4	87	1.32	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-2408557	Selenocysteine synthesis	4	91	1.3	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	4	124	1.17	0.0338	9606.ENSP00000356969,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000466134	APOA2,CKAP4,NUCB1,PRKCSH
Reactome	HSA-392499	Metabolism of proteins	13	1977	0.48	0.0338	9606.ENSP00000236671,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000466134	CTSD,NEDD8,TRIM28,RPL8,RPS26,APOA2,COPA,RPL10A,RPL11,UCHL3,CKAP4,NUCB1,PRKCSH
Reactome	HSA-422475	Axon guidance	7	547	0.77	0.0338	9606.ENSP00000262584,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000389631	RPL8,AP2M1,COL3A1,RPS26,RPL10A,RPL11,ARPC1B
Reactome	HSA-71291	Metabolism of amino acids and derivatives	6	365	0.87	0.0338	9606.ENSP00000222673,9606.ENSP00000262584,9606.ENSP00000317379,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	OGDH,RPL8,GLS,RPS26,RPL10A,RPL11
Reactome	HSA-72689	Formation of a pool of free 40S subunits	4	99	1.26	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	4	109	1.22	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-72764	Eukaryotic Translation Termination	4	91	1.3	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-8957275	Post-translational protein phosphorylation	4	107	1.23	0.0338	9606.ENSP00000356969,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000466134	APOA2,CKAP4,NUCB1,PRKCSH
Reactome	HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	4	99	1.26	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
Reactome	HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	4	93	1.29	0.0338	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	RPL8,RPS26,RPL10A,RPL11
