ID	Symbols	Sites	Effect	IGF1-DMSO-12hr	IGF1-DMSO-15min	IGF1-DMSO-24hr	IGF1-DMSO-2hr	IGF1-DMSO-30min	IGF1-DMSO-48hr	IGF1-DMSO-4hr	IGF1-DMSO-5min	IGF1-DMSO-60min	Serum-DMSO-12hr	Serum-DMSO-15min	Serum-DMSO-24hr	Serum-DMSO-2hr	Serum-DMSO-30min	Serum-DMSO-48hr	Serum-DMSO-4hr	Serum-DMSO-5min	Serum-DMSO-60min
PI3K-p110-a	PIK3CA			0.416257107	0.351914223	0.381875587	0.404701854	0.362077765	0.372998908	0.396130407	0.410237802	0.341326066	0.310757685	0.372270948	0.371080785	0.330636566	0.39377033	0.401336391	0.416897253	0.42108024	0.332680817
PI3K-p85	PIK3R1			1.078263657	1.115794901	1.131095512	1.238359743	1.100292875	1.136306792	1.138119916	1.120932002	1.193372788	1.082383532	1.180293709	1.09633689	1.006522141	1.132728857	1.130264996	1.144493141	1.195896487	1.188176416
PKCa	PRKCA			0.108498	0.106033806	0.119032878	0.115487545	0.120536706	0.126436602	0.120494911	0.1170166	0.117838973	0.095717966	0.133903173	0.109433628	0.105617746	0.122852466	0.125568045	0.107998728	0.120801114	0.082845814
PKCapS657	PRKCA			0.21626602	0.191274571	0.220443674	0.233103423	0.204147758	0.230565135	0.22256834	0.224930167	0.200621081	0.182963995	0.233235278	0.227287182	0.176720183	0.239300187	0.221835347	0.233216035	0.244301941	0.194887392
PR	PGR			0.351867528	0.283863048	0.432507992	0.34824563	0.298393741	0.62218996	0.367073822	0.333434174	0.322134293	0.176298342	0.250887899	0.176378848	0.197457222	0.234772211	0.18493499	0.257647691	0.23784896	0.174049104
PRAS40_pT246	AKT1S1			2.269943343	2.22980942	2.440443421	2.527599457	2.334337967	2.273339558	2.376012649	1.923083569	2.572784649	1.947523676	1.383554813	2.104103054	2.187641204	1.757642836	1.81202667	2.127820965	1.255431925	2.256056965
PTEN	PTEN			1.048772635	1.06793683	1.134414699	1.029383059	1.127534593	1.213368957	1.037125939	1.074461977	1.042958793	1.070063143	1.190665625	1.137152177	1.104892748	1.213016624	1.174422359	1.071031428	1.101147599	1.157865949
Patched	PTCH1			0.357556114	0.506743417	0.420749323	0.364242994	0.489134651	0.378624002	0.432290223	0.43842477	0.486232061	0.478328786	0.429017784	0.47353246	0.51453339	0.381864462	0.390046315	0.327518557	0.374242082	0.490708557
Paxillin	PXN			1.623271721	1.450542015	1.449114004	1.576253493	1.520454593	1.399637012	1.506388017	1.476038001	1.508900579	1.969504709	1.62231482	1.827610914	1.667179405	1.549894753	1.89110546	1.593582931	1.728283594	1.935709353
Rab11	RAB11A			0.260974363	0.247539345	0.245332339	0.254670587	0.241278501	0.267924043	0.242855034	0.253237711	0.238729927	0.236090333	0.261241427	0.239059989	0.240833836	0.253449184	0.242569256	0.245933496	0.259317185	0.247348669
Rab25	RAB25			0.346320225	0.319908068	0.326815654	0.334256233	0.308003063	0.328160109	0.340375573	0.344268913	0.323277473	0.293313381	0.306937383	0.321602017	0.30838079	0.345184573	0.34235426	0.328639726	0.336924738	0.305343275
Rad50	RAD50			0.571950226	0.631258777	0.492047505	0.582628242	0.777897912	0.548976012	0.54040417	0.663962405	0.625188866	0.603695007	0.573149527	0.623277222	0.754446592	0.602333441	0.531102374	0.521981695	0.541251905	0.671885992
Rad51	RAD51			1.000956121	0.939154484	0.945777572	0.920830198	0.950631467	0.938118035	0.908171236	0.84761166	1.049583058	0.941162719	0.87047842	1.065598001	0.947525931	0.884410314	0.895330318	0.824531338	0.830022759	0.971384057
Rb	RB1			0.270783038	0.247009019	0.256030127	0.253038945	0.262264611	0.254491361	0.273201416	0.265284371	0.251019939	0.21215512	0.230060998	0.233383355	0.228209294	0.250952999	0.259733164	0.242947485	0.24110557	0.236489992
Rb_pS807_S811	RB1			2.980700925	2.498229199	3.386733839	3.039883698	2.835796024	2.875071833	3.103966397	2.500957715	2.644940968	3.201710302	2.581078282	3.466529372	2.893164137	2.538733059	3.366931541	2.938500933	2.311113947	2.762800755
S6_pS235_S236	RPS6			6.814546807	4.426901969	7.977290223	7.586908535	4.545430599	6.048489761	7.179706571	3.956575903	4.714466383	8.855937377	6.414182083	8.673859397	8.622437615	6.663828072	7.649121215	9.137039766	4.633066317	7.213163718
S6_pS240_S244	RPS6			1.359733482	1.516152997	1.460462585	1.418914479	1.467538465	1.293773891	1.600838327	1.34138066	1.796834961	1.736433996	1.723553061	1.975429561	2.6181542	1.845160508	1.850020527	1.527242612	1.213655546	1.772522707
Smac	DIABLO			0.899588895	0.999970391	0.736160953	0.961547807	1.04855995	0.733506268	0.896077998	0.964314405	0.96866494	0.911104692	0.944557917	0.939263366	1.00203458	0.837570875	0.943145223	0.875021402	0.856283349	1.05302301
Smad1	SMAD1			0.540216003	0.511008856	0.501924798	0.533928877	0.515797917	0.497129481	0.526549874	0.547977749	0.508635593	0.483430836	0.512237911	0.544450493	0.566245893	0.53878523	0.509347592	0.540239595	0.518106665	0.524517398
Smad3	SMAD3			0.846932784	0.892278714	0.787845872	0.794034476	0.906427395	0.763605897	0.821393344	0.847571468	0.877961288	0.934368552	0.860995808	0.897888504	0.927355481	0.867909197	0.904738279	0.858369289	0.852241646	0.933110415
Smad4	SMAD4			0.116025754	0.106360857	0.119178391	0.116500395	0.105456556	0.107909872	0.11326784	0.113945897	0.107250899	0.107113304	0.105101979	0.114793342	0.09379755	0.109152137	0.105005899	0.110241343	0.112760563	0.095267317
Snail	SNAI1			1.017047888	0.509017787	0.773583218	0.990677271	0.663748829	0.898186129	0.874709154	0.701420274	0.5243198	0.623003433	0.497870403	0.576339234	0.327383694	0.649479374	0.738141618	0.614945036	0.559270686	0.78594167
Src	SRC			0.631922923	0.605262305	0.836928788	0.785396087	0.701631422	0.809372382	0.783094548	0.720762147	0.886880036	0.566567178	0.719460654	0.670394573	0.452353714	0.564006546	0.653296755	0.686704617	0.638884949	0.453561655
Src_pY416	SRC			0.097013272	0.101587121	0.089954466	0.084718643	0.082077138	0.074949771	0.094252409	0.099305374	0.077570008	0.074292181	0.083193203	0.069701136	0.082469566	0.083440569	0.090634384	0.086579567	0.079019023	0.080520861
Src_pY527	SRC			1.309939659	1.15470872	1.280628924	1.328017146	1.207379501	1.608384085	1.244216815	1.244210982	1.191209365	0.925937727	1.28956053	1.064328622	1.008088906	1.241643746	1.23537086	1.269472572	1.411606414	0.97811697
Stat3_pY705	STAT3			0.204044332	0.196093139	0.179737113	0.193301279	0.184847422	0.193043157	0.190347616	0.192133066	0.172628086	0.204394814	0.195977489	0.200910254	0.188336725	0.218300974	0.195085666	0.216706686	0.192727367	0.175449714
Stat5a	STAT5A			0.268356181	0.226317963	0.289503344	0.242609083	0.23615565	0.443868155	0.267320585	0.252222066	0.241507607	0.197021515	0.238494846	0.230628177	0.18948331	0.240151401	0.272957779	0.237675838	0.228365764	0.167123588
Stathmin-1	STMN1			0.338322198	0.332592314	0.287238761	0.345776927	0.326263411	0.319673427	0.314708627	0.296727225	0.32383591	0.263903246	0.300972716	0.309539461	0.311161174	0.2672333	0.273298971	0.29539123	0.297387982	0.27787381
