#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0005791	Rough endoplasmic reticulum	3	82	1.44	0.0270	9606.ENSP00000348849,9606.ENSP00000367265,9606.ENSP00000385923	RPS26,CKAP4,NUCB1
TISSUES	BTO:0000345	Digestive gland	21	2645	0.78	3.33e-11	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ACAA2,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,SOD2,CIRBP
TISSUES	BTO:0000759	Liver	19	1882	0.88	3.33e-11	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ACAA2,YWHAG,MDH2,RPS26,STOML2,XRCC6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,SOD2,CIRBP
TISSUES	BTO:0001491	Viscus	23	5020	0.54	1.90e-08	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,ACAA2,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0000522	Gland	24	6602	0.44	3.45e-07	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,ACAA2,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0001488	Endocrine gland	23	6036	0.46	6.37e-07	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ACAA2,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0003091	Urogenital system	21	6716	0.37	0.00052	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,PTX3,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0000763	Lung	9	1162	0.77	0.0032	9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000327070,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000446252,9606.ENSP00000466897	RPL8,ACAA2,MDH2,STOML2,XRCC6,CKAP4,NUCB1,SOD2,CIRBP
TISSUES	BTO:0000081	Reproductive system	19	6107	0.37	0.0034	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,PTX3,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,S100A4,CKAP4,NUCB1,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0000282	Head	19	6329	0.35	0.0053	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0000562	Heart	7	695	0.88	0.0053	9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000327070,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000446252	ACAA2,PTX3,MDH2,STOML2,XRCC6,S100A4,SOD2
TISSUES	BTO:0000083	Female reproductive system	18	5799	0.37	0.0058	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,S100A4,CKAP4,NUCB1,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0000088	Cardiovascular system	8	1005	0.78	0.0058	9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000327070,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000446252	ACAA2,PTX3,YWHAG,MDH2,STOML2,XRCC6,S100A4,SOD2
TISSUES	BTO:0000570	Hematopoietic system	12	2543	0.55	0.0058	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000306330,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000385923,9606.ENSP00000391249,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,YWHAG,RPS26,XRCC6,APOA2,S100A4,NUCB1,SEPT9,CIRBP
TISSUES	BTO:0003099	Internal female genital organ	12	2593	0.54	0.0064	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262584,9606.ENSP00000310226,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,RPL8,RAB1B,RPS26,XRCC6,S100A4,CKAP4,NUCB1,KLC1,SOD2,CIRBP
TISSUES	BTO:0000142	Brain	17	5462	0.37	0.0092	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000385923,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,NUCB1,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0000775	Lymphocyte	6	648	0.84	0.0173	9606.ENSP00000215793,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000306330,9606.ENSP00000352257,9606.ENSP00000357705	SF3A1,MARS,RPL8,YWHAG,XRCC6,S100A4
TISSUES	BTO:0001489	Whole body	25	12619	0.17	0.0173	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
TISSUES	BTO:0000202	Sense organ	7	1020	0.71	0.0241	9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000327070,9606.ENSP00000352257,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000446252	RPL8,ATP6V1B2,MDH2,XRCC6,ATP5J,SEPT9,SOD2
TISSUES	BTO:0001129	Prostate gland	5	446	0.93	0.0241	9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000385923	RPL8,RPS26,XRCC6,S100A4,NUCB1
TISSUES	BTO:0000082	Male reproductive system	11	2671	0.49	0.0261	9606.ENSP00000215793,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000295927,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000385923,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252	SF3A1,MARS,RPL8,PTX3,RPS26,XRCC6,S100A4,NUCB1,SEPT9,KLC1,SOD2
TISSUES	BTO:0001374	Thymus	4	252	1.08	0.0261	9606.ENSP00000262027,9606.ENSP00000352257,9606.ENSP00000391249,9606.ENSP00000466897	MARS,XRCC6,SEPT9,CIRBP
TISSUES	BTO:0000580	Blood cancer cell	7	1098	0.68	0.0333	9606.ENSP00000310226,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000389649,9606.ENSP00000391249	RAB1B,MDH2,RPS26,STOML2,XRCC6,ATP5J,SEPT9
TISSUES	BTO:0000753	Lymphoid tissue	8	1496	0.6	0.0363	9606.ENSP00000215793,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000306330,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000391249,9606.ENSP00000466897	SF3A1,MARS,RPL8,YWHAG,XRCC6,S100A4,SEPT9,CIRBP
TISSUES	BTO:0001485	Muscular system	7	1121	0.67	0.0363	9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000348886,9606.ENSP00000356969,9606.ENSP00000357705	MARS,RPL8,YWHAG,RAB1B,STOML2,APOA2,S100A4
COMPARTMENTS	GOCC:0005737	Cytoplasm	23	7871	0.34	0.0011	9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000446252,9606.ENSP00000466897	LRP1,NEDD8,MARS,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,SOD2,CIRBP
COMPARTMENTS	GOCC:0043226	Organelle	24	9848	0.26	0.0071	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,NEDD8,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
COMPARTMENTS	GOCC:0005622	Intracellular	25	11202	0.23	0.0080	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,NEDD8,MARS,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
COMPARTMENTS	GOCC:0043229	Intracellular organelle	23	9242	0.27	0.0081	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,NEDD8,RPL8,ATP6V1B2,ACAA2,PTX3,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
COMPARTMENTS	GOCC:0031982	Vesicle	11	2051	0.61	0.0136	9606.ENSP00000243077,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000446252	LRP1,ATP6V1B2,PTX3,YWHAG,RAB1B,XRCC6,SNX6,S100A4,CKAP4,PRDX4,SOD2
COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle	21	8685	0.26	0.0406	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,NEDD8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SOD2,CIRBP
COMPARTMENTS	GOCC:0070013	Intracellular organelle lumen	12	2812	0.51	0.0406	9606.ENSP00000215793,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000446252	SF3A1,ACAA2,PTX3,GLS,MDH2,RPS26,STOML2,XRCC6,CKAP4,PRDX4,NUCB1,SOD2
COMPARTMENTS	GOCC:0110165	Cellular anatomical entity	26	13853	0.15	0.0406	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,NEDD8,MARS,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
UniProt Keywords	KW-0007	Acetylation	16	3341	0.56	0.00034	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000446252	SF3A1,LRP1,NEDD8,ACAA2,YWHAG,RAB1B,GLS,MDH2,STOML2,XRCC6,SNX6,S100A4,CKAP4,ATP5J,SEPT9,SOD2
UniProt Keywords	KW-0809	Transit peptide	6	543	0.92	0.0227	9606.ENSP00000285093,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348886,9606.ENSP00000389649,9606.ENSP00000446252	ACAA2,GLS,MDH2,STOML2,ATP5J,SOD2
