category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
GO Cellular Component,11428,47,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P13667,P05976,Q96C90,Q9UHB9,O94925,P80723,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,O15143,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q99879,Q8IVL6",1.87e-08,Cytoplasm,0.4191096612865047
GO Cellular Component,5193,34,"Q02790,P14174,P16989,P63208,P56192,Q9UKY7,P49023,P05976,Q9UHB9,O94925,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q92841,Q16181,O60716,O15143,P17096,Q07866,P05787,Q9Y5S9,Q99879",6.89e-08,Cytosol,0.45784966646350767
GO Cellular Component,820,14,"Q9HBL0,P16989,Q07954,P49023,P31949,Q9UHB9,P67936,Q15366,P62424,P05556,O60716,O15143,P17096,P05787",2.97e-06,Anchoring junction,0.56551006541469
GO Cellular Component,405,10,"Q9HBL0,Q07954,P49023,Q9UHB9,P67936,Q15366,P62424,P05556,O15143,P17096",1.77e-05,Focal adhesion,0.6216485243473542
GO Cellular Component,186,7,"Q02790,Q9UBR2,Q07954,P80723,Q96A49,O60716,Q07866",0.0001,Growth cone,0.7008476776731584
GO Cellular Component,2099,18,"Q02790,P14174,Q9UBR2,P56192,P31949,P80723,P67936,P62854,Q15366,P67809,Q07065,Q96A49,P05556,Q16181,O60716,O15143,P05787,Q99879",0.00015,Extracellular exosome,0.48378198549569484
GO Cellular Component,5073,28,"Q02790,P63208,Q07954,P56192,P49023,P05976,Q9UHB9,Q71UM5,Q99613,P67936,P62854,Q6NZI2,Q9UN86,P62424,P67809,Q9UMX0,P05556,Q92841,Q16181,O60716,O15143,P17096,Q07866,P05787,Q9Y5S9,Q14011,Q99879,Q8IVL6",0.00017,Protein-containing complex,0.442812448039124
GO Cellular Component,2075,17,"Q9HBL0,P16989,Q07954,P49023,P31949,Q9UHB9,O94925,P80723,P67936,Q15366,P62424,Q96A49,P05556,O60716,O15143,P17096,P05787",0.00044,Cell junction,0.4791845977607302
GO Cellular Component,677,10,"Q9UHB9,Q71UM5,Q99613,P62854,Q9UN86,P62424,P67809,Q92841,Q9Y5S9,Q14011",0.00051,Ribonucleoprotein complex,0.5460513218067168
GO Cellular Component,3879,23,"Q02790,P14174,Q9UBR2,Q07954,P56192,P31949,P13667,P80723,P67936,P62854,Q15366,P67809,Q9UMX0,Q07065,Q96A49,P62328,P05556,Q16181,O60716,O15143,Q07866,P05787,Q99879",0.00076,Vesicle,0.4489934687524712
GO Cellular Component,5857,29,"Q02790,P14174,Q9UBR2,P63208,P49756,P56192,P31949,P13667,Q9UHB9,O94925,P80723,O00629,P62854,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,Q92841,P17096,P05787,Q9Y5S9,Q14011,Q99879",0.00076,Intracellular organelle lumen,0.43375454076050596
GO Cellular Component,4889,26,"Q02790,Q9HBL0,P63208,Q07954,P56192,P49023,P05976,Q9UHB9,P80723,Q71UM5,P67936,P62854,Q9UN86,P62424,P67809,Q07065,P62328,Q92841,Q16181,O60716,O15143,P17096,Q07866,P05787,Q14011,Q99879",0.00081,Non-membrane-bounded organelle,0.4396695334277242
GO Cellular Component,12528,43,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,P49023,P31949,P13667,P05976,Q9UHB9,O94925,P80723,Q71UM5,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,O15143,P17096,Q07866,P05787,Q9Y5S9,Q14011,Q99879,Q8IVL6",0.0014,Intracellular organelle,0.40575392274914274
GO Cellular Component,4880,25,"Q02790,Q9HBL0,P63208,Q07954,P56192,P49023,P05976,Q9UHB9,P80723,Q71UM5,P67936,P62854,Q9UN86,P62424,P67809,Q07065,P62328,Q92841,Q16181,O15143,P17096,Q07866,P05787,Q14011,Q99879",0.0025,Intracellular non-membrane-bounded organelle,0.4365537263367482
GO Cellular Component,3195,19,"Q02790,P14174,Q9UBR2,P56192,P31949,P13667,P80723,P67936,P62854,Q15366,P67809,Q07065,Q96A49,P05556,Q16181,O60716,O15143,P05787,Q99879",0.0054,Extracellular space,0.4492457494690507
GO Cellular Component,7390,31,"Q02790,P14174,P16989,P63208,Q07954,P49756,P56192,P31949,Q9UHB9,P80723,Q71UM5,O00629,P62854,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q92841,Q16181,O60716,O15143,P17096,P05787,Q9Y5S9,Q14011,Q99879",0.0061,Nucleus,0.4206202324844467
GO Cellular Component,4733,23,"Q02790,P14174,P63208,P49756,P56192,Q9UHB9,P80723,O00629,P62854,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,Q92841,P17096,P05787,Q9Y5S9,Q14011,Q99879",0.014,Nuclear lumen,0.4322267546303204
GO Cellular Component,3973,20,"Q02790,P14174,P63208,P49756,P80723,O00629,P62854,Q6NZI2,Q15366,P67809,Q9UMX0,P15374,Q07065,Q96A49,Q92841,P17096,P05787,Q9Y5S9,Q14011,Q99879",0.0284,Nucleoplasm,0.4351046112475981
GO Cellular Component,2221,14,"Q02790,Q9HBL0,P63208,Q07954,P49023,P05976,P80723,P67936,Q07065,P62328,Q16181,O15143,Q07866,P05787",0.0322,Cytoskeleton,0.4543975648833353
GO Cellular Component,65,3,"P49023,P67936,Q16181",0.034,Stress fiber,0.7448663730489575
GO Cellular Component,1261,10,"Q02790,P05976,P67936,Q9UN86,P67809,Q07065,Q16181,Q07866,P05787,Q14011",0.0394,Supramolecular complex,0.47592772897690583
GO Cellular Component,4166,20,"Q02790,P14174,Q9UBR2,P56192,P31949,P13667,P80723,P67936,P62854,Q15366,P67809,Q07065,Q96A49,P62328,P05556,Q16181,O60716,O15143,P05787,Q99879",0.0426,Extracellular region,0.4312401573996123
GO Cellular Component,73,3,"Q9UN86,P67809,Q14011",0.0426,Cytoplasmic stress granule,0.7182822031091927
GO Biological Function,1649,22,"Q02790,Q9HBL0,P16989,Q07954,P49756,P56192,P13667,Q9UHB9,Q71UM5,Q99613,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q07065,P62328,Q86UP2,Q92841,Q9Y5S9,Q14011",1.53e-08,RNA binding,0.5332874668023212
GO Biological Function,3947,25,"Q02790,Q9HBL0,P16989,Q07954,P49756,P56192,P13667,Q9UHB9,P80723,Q71UM5,Q99613,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q07065,P62328,Q86UP2,Q92841,P17096,Q9Y5S9,Q14011,Q99879",0.00077,Nucleic acid binding,0.45484790042080364
GO Biological Function,289,8,"P16989,P49756,P62854,Q15366,Q9UN86,P67809,Q9Y5S9,Q14011",0.00077,mRNA binding,0.6412689899023675
GO Biological Function,334,7,"P31949,P62854,P62424,Q86UP2,P05556,Q16181,O60716",0.0126,Cadherin binding,0.5952215257508691
GO Biological Function,538,8,"P49023,P31949,P62854,P62424,Q86UP2,P05556,Q16181,O60716",0.0268,Cell adhesion molecule binding,0.5468668206085135
TISSUES,2645,32,"Q02790,Q9HBL0,P14174,Q9UBR2,P63208,Q07954,P56192,P49023,P31949,P13667,O94925,P80723,Q71UM5,Q99613,P62854,Q6NZI2,Q15366,P62424,P67809,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q01995,P05787,Q9Y5S9,Q14011",3.13e-14,Digestive gland,0.5215015447977601
TISSUES,1882,28,"Q02790,Q9HBL0,P14174,Q9UBR2,P63208,Q07954,P56192,P31949,P13667,Q71UM5,Q99613,P62854,Q6NZI2,Q15366,P62424,P67809,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q01995,P05787,Q14011",4.16e-14,Liver,0.5471081184641727
TISSUES,5020,39,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,P49023,P31949,P13667,P05976,Q9UHB9,O94925,Q71UM5,Q99613,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q99879",2.01e-13,Viscus,0.47397282182921185
TISSUES,6036,41,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P13667,P05976,Q9UHB9,O94925,P80723,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011",7.45e-13,Endocrine gland,0.4612253989519179
TISSUES,1436,22,"P14174,P16989,P63208,P31949,P13667,P80723,Q99613,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,Q07065,P62328,Q86UP2,P05556,Q92841,Q16181,P17096,Q01995,P05787,Q14011",9.71e-11,Respiratory system,0.5509234865843281
TISSUES,1162,20,"P14174,P16989,P63208,P31949,P13667,P80723,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,Q07065,P62328,Q86UP2,Q92841,Q16181,P17096,Q01995,P05787,Q14011",1.9e-10,Lung,0.566684701896619
TISSUES,5799,36,"Q02790,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,P49023,P31949,Q9UHB9,O94925,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q8IVL6",1.02e-08,Female reproductive system,0.45305747113921274
TISSUES,2593,25,"Q02790,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P49023,P31949,Q99613,P67936,P62854,Q6NZI2,P62424,Q07065,Q96A49,Q86UP2,P05556,Q92841,Q16181,P17096,Q07866,Q01995,P05787,Q14011",1.95e-08,Internal female genital organ,0.49599977100399467
TISSUES,2671,24,"Q9UBR2,P16989,P63208,P49756,P56192,P49023,Q99613,O00629,P67936,P62854,Q15366,P62424,P67809,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q01995,P05787,Q9Y5S9",2.1e-07,Male reproductive system,0.4885853724242382
TISSUES,1069,16,"Q9HBL0,P14174,P63208,Q07954,P31949,Q9UHB9,Q99613,P67936,Q6NZI2,P62424,P67809,P62328,P05556,Q92841,P17096,P05787",3.24e-07,Skin,0.5478359999925148
TISSUES,2505,23,"Q9UBR2,P16989,P63208,P49756,P56192,P49023,Q99613,O00629,P67936,P62854,Q15366,P62424,P67809,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q01995,P05787,Q9Y5S9",3.25e-07,Male reproductive gland,0.490832902689929
TISSUES,2543,23,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,Q99613,O00629,P67936,P62854,Q15366,P62424,P62328,Q86UP2,Q16181,P17096,Q01995,Q9Y5S9,Q14011",4.05e-07,Hematopoietic system,0.48926329533052565
TISSUES,1020,15,"Q02790,P14174,P63208,P49756,Q6NZI2,P62424,Q96A49,P05556,Q92841,Q16181,P17096,Q07866,Q01995,P05787,Q14011",1.13e-06,Uterus,0.5455434740902052
TISSUES,2132,20,"Q02790,P16989,Q07954,P49023,P31949,O94925,Q99613,P67936,P62854,Q6NZI2,P62424,Q9UMX0,P15374,Q07065,P05556,Q92841,O60716,P17096,P05787,Q14011",3.4e-06,Embryonic structure,0.49308184967673596
TISSUES,1970,19,"Q9HBL0,P14174,Q9UBR2,P63208,Q07954,P49756,P31949,Q9UHB9,Q99613,P67936,P62854,Q6NZI2,P62424,P67809,P62328,P05556,Q92841,P17096,P05787",5.41e-06,Integument,0.496023620858115
TISSUES,1675,17,"Q02790,Q9HBL0,P14174,P16989,P63208,Q07954,P49756,P56192,O00629,P67936,Q15366,P62424,P62328,Q86UP2,P17096,Q01995,Q9Y5S9",1.59e-05,Blood,0.5015233538876659
TISSUES,2229,19,"Q9UBR2,P16989,P63208,P49756,P56192,P49023,Q99613,O00629,P67936,P62854,Q15366,P62424,P62328,Q86UP2,Q16181,O60716,P17096,Q01995,P05787",3.25e-05,Internal male genital organ,0.4831731887949044
TISSUES,12619,45,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P13667,P05976,Q9UHB9,O94925,P80723,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q99879,Q8IVL6",3.51e-05,Whole body,0.4085056028166267
TISSUES,195,7,"Q02790,P49023,Q9UMX0,P15374,Q92841,O60716,P17096",4.07e-05,Pronephros,0.690961790049683
TISSUES,1865,17,"Q9UBR2,P63208,P56192,P31949,Q99613,P67936,P62424,P67809,P62328,P05556,Q92841,Q16181,P17096,Q01995,P05787,Q9Y5S9,Q99879",6.06e-05,Alimentary canal,0.49006089896827
TISSUES,1176,13,"Q02790,P16989,Q07954,P49023,P31949,Q99613,P67936,Q6NZI2,P62424,P05556,P17096,P05787,Q14011",0.00022,Placenta,0.5110036692699202
TISSUES,5462,28,"P14174,P63208,Q07954,P49756,P56192,P49023,O94925,P80723,Q99613,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q9Y5S9,Q14011,Q8IVL6",0.00041,Brain,0.43661007448902067
TISSUES,2783,19,"Q9UBR2,P16989,P63208,P56192,P49023,Q9UHB9,Q99613,O00629,P67936,Q15366,P62424,P67809,P62328,Q86UP2,Q16181,O60716,P17096,Q01995,P05787",0.00067,Female reproductive gland,0.4616771855919636
TISSUES,1121,12,"P16989,P56192,P13667,P05976,Q99613,Q15366,P62424,Q9UMX0,P05556,P17096,Q01995,Q9Y5S9",0.00067,Muscular system,0.5073794250759436
TISSUES,446,8,"Q9UBR2,P49756,P62854,P62424,P62328,P17096,Q01995,P05787",0.00068,Prostate gland,0.5723058226778314
TISSUES,61,4,"Q02790,Q9HBL0,Q9UN86,P67809",0.001,Ovary cancer cell,0.8400313949443825
TISSUES,648,9,"Q02790,P49756,P56192,O00629,Q15366,P62424,P62328,Q86UP2,P17096",0.0012,Lymphocyte,0.5381835330705048
TISSUES,252,6,"Q02790,P56192,Q99613,P62328,P17096,Q14011",0.0018,Thymus,0.6153583837767905
TISSUES,14895,46,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P13667,P05976,Q96C90,Q9UHB9,O94925,P80723,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q99879,Q8IVL6",0.0022,Animal,0.398341016111674
TISSUES,933,10,"Q02790,P63208,P49756,P56192,O00629,Q15366,P62424,P62328,Q86UP2,P17096",0.0031,Hematopoietic cell,0.5074990917355885
TISSUES,949,10,"P49023,P62854,Q15366,P67809,P62328,P05556,Q92841,Q16181,P17096,Q9Y5S9",0.0035,Leukemia cell,0.5056062620174647
TISSUES,985,10,"P16989,P56192,P13667,P05976,P62424,Q9UMX0,P05556,P17096,Q01995,Q9Y5S9",0.0047,Muscle,0.501510319656576
TISSUES,1680,13,"Q9UBR2,P56192,Q99613,P67936,P62424,P67809,P62328,Q92841,P17096,Q01995,P05787,Q9Y5S9,Q99879",0.0054,Gastrointestinal tract,0.47354665145011854
TISSUES,1496,12,"Q02790,P49756,P56192,Q99613,O00629,Q15366,P62424,P62328,Q86UP2,Q16181,P17096,Q14011",0.0073,Lymphoid tissue,0.4770672453003173
TISSUES,1756,13,"P16989,P63208,P56192,P49023,Q99613,O00629,P67936,Q15366,P62328,Q86UP2,Q16181,O60716,P17096",0.0078,Testis,0.46927902208635874
TISSUES,249,5,"P16989,O94925,Q92841,Q01995,P05787",0.0131,Colonic cancer cell,0.5885572680631196
TISSUES,595,7,"Q02790,P56192,Q99613,Q15366,P62328,P17096,Q14011",0.0196,Thorax,0.5180680856382094
TISSUES,1020,9,"P14174,P63208,P67936,Q15366,P62424,P67809,P62328,P17096,Q8IVL6",0.0235,Sense organ,0.4866456566057839
TISSUES,170,4,"Q02790,Q99613,P62424,P17096",0.028,Lymph,0.6131072073215343
Uniprot Keywords,3341,31,"Q02790,P14174,P16989,Q07954,P49756,Q9UKY7,P49023,P31949,P13667,P05976,Q96C90,Q9UHB9,O94925,Q99613,O00629,P67936,Q6NZI2,P62424,P67809,Q9UMX0,Q07065,P62328,P05556,Q92841,Q16181,O60716,P17096,Q01995,P05787,Q9Y5S9,Q99879",9.98e-11,Acetylation,0.491945680416751
Uniprot Keywords,5028,35,"Q02790,Q9HBL0,P14174,P16989,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,Q96C90,Q9UHB9,O94925,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q92841,Q16181,O60716,O15143,Q07866,Q01995,P05787,Q9Y5S9,Q14011",1.35e-09,Cytoplasm,0.46349650080816285
Uniprot Keywords,8057,40,"Q02790,Q9HBL0,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P05976,Q96C90,Q9UHB9,O94925,P80723,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q99879",1.58e-07,Phosphoprotein,0.4339774349403708
Uniprot Keywords,1706,17,"Q02790,P63208,P49756,P80723,Q6NZI2,Q15366,Q9UN86,P62424,P67809,P62328,P05556,Q92841,O60716,P17096,P05787,Q9Y5S9,Q99879",3.67e-05,Isopeptide bond,0.49952929361245196
Uniprot Keywords,670,10,"P49756,P56192,Q9UHB9,Q6NZI2,Q15366,Q9UN86,P67809,Q92841,Q9Y5S9,Q14011",0.00052,RNA-binding,0.5473985507401639
Uniprot Keywords,2383,17,"Q02790,P63208,P49756,P80723,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P62328,P05556,O60716,P17096,P05787,Q9Y5S9,Q99879",0.0024,Ubl conjugation,0.4657754423765959
Uniprot Keywords,534,7,"P63208,O00629,Q15366,Q9UN86,P05556,Q07866,P05787",0.0273,Host-virus interaction,0.5309671336623659
Uniprot Keywords,265,5,"Q9HBL0,P67936,P62328,O15143,Q01995",0.0362,Actin-binding,0.5793703711430479
Uniprot Keywords,1215,10,"Q02790,Q9HBL0,Q07954,P49023,P67936,Q07065,P62328,Q16181,O15143,Q07866",0.0362,Cytoskeleton,0.4796085837756121
Uniprot Keywords,962,9,"Q02790,P16989,P05976,Q9UN86,Q92841,P17096,Q01995,P05787,Q99879",0.0362,Methylation,0.49273613861579163
Uniprot Keywords,62,3,"P05976,P67936,Q01995",0.0362,Muscle protein,0.7562470002384883
Uniprot Keywords,278,5,"Q9UHB9,Q71UM5,P62854,Q15366,P62424",0.0362,Ribonucleoprotein,0.5724969492257224
PMID,110,7,"Q07954,P49023,P31949,P13667,P05556,Q01995,P05787",0.0474,(2020) Biomarkers of tumor invasiveness in proteomics (Review).,0.8331077424940637
Reactome Pathways,826,11,"Q02790,P63208,Q71UM5,O00629,P62854,P62424,P05556,O60716,O15143,P17096,Q99879",0.0074,Infectious disease,0.5329885751755372
