category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,13853,24,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",0.0366,Cellular anatomical entity,0.3621439889974875
COMPARTMENTS,24,2,"P49023,Q8WX93",0.0466,Podosome,0.9266284080291267
COMPARTMENTS,120,3,"P05976,Q8WX93,Q96HC4",0.0466,Sarcomere,0.6241963505817849
GO Biological Process,971,9,"Q02790,P49023,Q9UN86,P27816,P60903,P62328,Q16181,O15143,Q96HC4",0.0161,Regulation of cellular component biogenesis,0.49188954793809014
GO Biological Process,592,7,"Q99439,P05976,P62328,O15143,Q8WX93,P05787,Q96HC4",0.0341,Actin filament-based process,0.5188811331420669
GO Cellular Component,65,5,"Q99439,P49023,Q16181,Q8WX93,Q96HC4",3.45e-05,Stress fiber,0.8977117175026231
GO Cellular Component,5193,19,"Q02790,Q7Z417,P63208,P56192,P49023,P05976,P37837,Q9UN86,P27816,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q9Y5S9,Q96HC4",3.45e-05,Cytosol,0.4103970444181729
GO Cellular Component,4880,19,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P05976,Q9UN86,P27816,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q14011,Q96HC4",3.45e-05,Intracellular non-membrane-bounded organelle,0.41499523513439307
GO Cellular Component,1261,11,"Q02790,Q7Z417,P05976,Q9UN86,P27816,Q07065,Q16181,Q8WX93,P05787,Q14011,Q96HC4",3.45e-05,Supramolecular complex,0.4855966211570128
GO Cellular Component,820,9,"Q99439,P49023,P31949,O15143,P17096,Q8WX93,P62888,P05787,Q96HC4",5.8e-05,Anchoring junction,0.5103156889901393
GO Cellular Component,2221,13,"Q02790,P63208,Q99439,P49023,P05976,P27816,Q07065,P62328,Q16181,O15143,Q8WX93,P05787,Q96HC4",6.69e-05,Cytoskeleton,0.4479072239034137
GO Cellular Component,477,7,"Q99439,P49023,P05976,Q16181,O15143,Q8WX93,Q96HC4",0.0002,Actin cytoskeleton,0.5454286606918114
GO Cellular Component,11428,24,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",0.00036,Cytoplasm,0.373446603572167
GO Cellular Component,5073,17,"Q02790,Q7Z417,P63208,P56192,P49023,P05976,Q9UN86,P27816,P60903,Q16181,O15143,P17096,P62888,P05787,Q9Y5S9,Q14011,Q96HC4",0.0007,Protein-containing complex,0.4040704536679707
GO Cellular Component,405,6,"Q99439,P49023,O15143,P17096,Q8WX93,P62888",0.00097,Focal adhesion,0.5466560638271702
GO Cellular Component,2075,10,"Q99439,P49023,P31949,P27816,O15143,P17096,Q8WX93,P62888,P05787,Q96HC4",0.0093,Cell junction,0.4315892049128344
GO Cellular Component,2099,10,"Q02790,P56192,P31949,P37837,P60903,Q07065,Q16181,O15143,P62888,P05787",0.0097,Extracellular exosome,0.43066091437929793
GO Cellular Component,73,3,"Q7Z417,Q9UN86,Q14011",0.01,Cytoplasmic stress granule,0.721395788393182
GO Cellular Component,207,4,"P05976,Q8WX93,P05787,Q96HC4",0.01,Sarcomere,0.5834610880265209
GO Cellular Component,231,4,"Q7Z417,Q9UN86,Q07065,Q14011",0.0131,Cytoplasmic ribonucleoprotein granule,0.5676812302400946
GO Cellular Component,490,5,"Q99439,P49023,P31949,P05787,Q96HC4",0.0188,Cell-cell junction,0.5022031461958567
GO Cellular Component,12528,23,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q9Y5S9,Q14011,Q96HC4",0.0207,Intracellular organelle,0.36547651680766774
GO Cellular Component,131,3,"Q8WX93,P05787,Q96HC4",0.0334,Z disc,0.6097003170693204
GO Cellular Component,32,2,"Q7Z417,P62888",0.0432,Polysomal ribosome,0.8304820237218405
GO Cellular Component,939,6,"Q02790,P05976,P27816,Q8WX93,P05787,Q96HC4",0.0432,Supramolecular fiber,0.4556816881598477
GO Cellular Component,3879,12,"Q02790,P56192,Q99439,P31949,P37837,P60903,Q07065,P62328,Q16181,O15143,P62888,P05787",0.0455,Vesicle,0.3984796354509163
GO Biological Function,973,9,"Q02790,Q99439,P49023,P27816,P62328,O15143,Q8WX93,Q01995,Q96HC4",0.0041,Cytoskeletal protein binding,0.49167342914746653
GO Biological Function,1649,10,"Q02790,Q7Z417,P56192,Q9UN86,P27816,Q07065,P62328,P62888,Q9Y5S9,Q14011",0.0194,RNA binding,0.45101510192692673
GO Biological Function,438,6,"Q99439,P62328,O15143,Q8WX93,Q01995,Q96HC4",0.0194,Actin binding,0.5366756461815503
GO Biological Function,12516,24,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",0.0194,Binding,0.3680185528837492
GO Biological Function,538,6,"Q99439,P49023,P31949,Q16181,Q8WX93,Q96HC4",0.0249,Cell adhesion molecule binding,0.51212952526717
GO Biological Function,51,3,"P31949,Q8WX93,Q96HC4",0.0249,Cell-cell adhesion mediator activity,0.812711509291959
GO Biological Function,635,6,"P05976,P27816,Q16181,O15143,P17096,P62888",0.0394,Structural molecule activity,0.49391924291726363
TISSUES,2645,18,"Q02790,P63208,P56192,P49023,P31949,P37837,P27816,P60903,Q07065,P62328,Q16181,P17096,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",2.69e-08,Digestive gland,0.461434850687064
TISSUES,1882,16,"Q02790,P63208,P56192,P31949,P37837,P27816,P60903,Q07065,P62328,Q16181,P17096,P62888,Q01995,P05787,Q14011,Q96HC4",2.69e-08,Liver,0.48297521158789253
TISSUES,5020,21,"Q02790,P63208,P56192,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",2.24e-07,Viscus,0.4204357996115388
TISSUES,2593,16,"Q02790,Q7Z417,P63208,Q99439,P49023,P31949,P37837,Q07065,Q16181,P17096,Q8WX93,P62888,Q01995,P05787,Q14011,Q96HC4",1.14e-06,Internal female genital organ,0.45255369699576414
TISSUES,5799,21,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P37837,Q9UN86,P27816,Q07065,P62328,Q16181,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",2.36e-06,Female reproductive system,0.40964571227480595
TISSUES,6036,21,"Q02790,P63208,P56192,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",4.35e-06,Endocrine gland,0.40674713177446253
TISSUES,2132,13,"Q02790,Q7Z417,Q99439,P49023,P31949,P27816,Q07065,P17096,Q8WX93,P62888,P05787,Q14011,Q96HC4",4.65e-05,Embryonic structure,0.45149909817861994
TISSUES,1162,10,"P63208,P31949,P37837,Q07065,P62328,Q16181,P17096,Q01995,P05787,Q14011",8.13e-05,Lung,0.4842131671099232
TISSUES,1176,10,"Q02790,Q99439,P49023,P31949,P17096,Q8WX93,P62888,P05787,Q14011,Q96HC4",8.37e-05,Placenta,0.48299674634048717
TISSUES,1675,11,"Q02790,P63208,P56192,Q99439,P27816,P62328,P17096,P62888,Q01995,Q9Y5S9,Q96HC4",0.0002,Blood,0.45816451138719005
TISSUES,2543,13,"Q02790,P63208,P56192,Q99439,P27816,P62328,Q16181,P17096,P62888,Q01995,Q9Y5S9,Q14011,Q96HC4",0.00022,Hematopoietic system,0.4364138462618384
TISSUES,252,5,"Q02790,P56192,P62328,P17096,Q14011",0.0014,Thymus,0.5873954787535017
TISSUES,1020,8,"Q02790,P63208,Q99439,Q16181,P17096,Q01995,P05787,Q14011",0.0019,Uterus,0.4749442711003791
TISSUES,1865,10,"P63208,P56192,P31949,P62328,Q16181,P17096,P62888,Q01995,P05787,Q9Y5S9",0.0033,Alimentary canal,0.4403969350847782
TISSUES,595,6,"Q02790,P56192,P62328,P17096,P62888,Q14011",0.0062,Thorax,0.500910225172462
TISSUES,949,7,"P49023,P37837,P62328,Q16181,P17096,P62888,Q9Y5S9",0.0093,Leukemia cell,0.4690061567086762
TISSUES,985,7,"P56192,P05976,P27816,P17096,Q01995,Q9Y5S9,Q96HC4",0.0112,Muscle,0.46547606165070776
TISSUES,1005,7,"Q99439,P27816,P62328,Q16181,Q8WX93,Q01995,Q96HC4",0.0122,Cardiovascular system,0.46359224183959946
TISSUES,695,6,"Q99439,P27816,P62328,Q8WX93,Q01995,Q96HC4",0.0122,Heart,0.4845351980840786
TISSUES,446,5,"P62328,P17096,P62888,Q01995,P05787",0.0137,Prostate gland,0.5127245795863549
TISSUES,1069,7,"P63208,P31949,P60903,P62328,P17096,P05787,Q96HC4",0.0158,Skin,0.45790068744970364
TISSUES,12619,23,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",0.0244,Whole body,0.3650571522225318
TISSUES,2505,10,"P63208,P56192,P49023,P62328,Q16181,P17096,P62888,Q01995,P05787,Q9Y5S9",0.0259,Male reproductive gland,0.4168737608308709
TISSUES,933,6,"Q02790,P63208,P56192,P62328,P17096,P62888",0.0428,Hematopoietic cell,0.45626049765439514
TISSUES,2229,9,"P63208,P56192,P49023,P62328,Q16181,P17096,P62888,Q01995,P05787",0.0466,Internal male genital organ,0.4177340539259588
Uniprot Keywords,3341,16,"Q02790,Q99439,P49023,P31949,P05976,P37837,P27816,P60903,Q07065,P62328,Q16181,P17096,P62888,Q01995,P05787,Q9Y5S9",6.6e-05,Acetylation,0.43107972885310525
Uniprot Keywords,1706,11,"Q02790,Q7Z417,P63208,Q9UN86,P27816,P60903,P62328,P17096,P62888,P05787,Q9Y5S9",0.00065,Isopeptide bond,0.4564987834426787
Uniprot Keywords,8057,20,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,Q07065,P62328,Q16181,P17096,P62888,Q01995,P05787,Q9Y5S9,Q14011",0.0065,Phosphoprotein,0.3838560335262329
Uniprot Keywords,2383,11,"Q02790,Q7Z417,P63208,Q9UN86,P27816,P60903,P62328,P17096,P62888,P05787,Q9Y5S9",0.0065,Ubl conjugation,0.4281314274103023
Uniprot Keywords,5028,16,"Q02790,Q7Z417,P56192,P49023,P31949,P37837,Q9UN86,P27816,Q07065,P62328,Q16181,O15143,Q01995,P05787,Q9Y5S9,Q14011",0.0065,Cytoplasm,0.40043642984125766
Uniprot Keywords,962,7,"Q02790,Q7Z417,P05976,Q9UN86,P17096,Q01995,P05787",0.0132,Methylation,0.4677099959553667
Uniprot Keywords,265,4,"Q99439,P62328,O15143,Q01995",0.0287,Actin-binding,0.5490927694692548
Uniprot Keywords,1215,7,"Q02790,P49023,P27816,Q07065,P62328,Q16181,O15143",0.0412,Cytoskeleton,0.44653258203962487
PMID,36,5,"Q99439,P31949,Q8WX93,P62888,Q01995",0.0053,(2022) Analysis of senescence-responsive stress fiber proteome reveals reorganization of stress fibers mediated by elongation factor eEF2 in HFF-1 cells.,1.1664086036194816
